date,product_id,product_name,category,channel,units_sold,current_stock,safety_stock_level,supplier_lead_time_days,is_promo_day
2024-08-14,1,Product_01,Beverages,In-store,11,294,69,7,False
2024-08-15,1,Product_01,Beverages,In-store,14,275,69,7,False
2024-08-16,1,Product_01,Beverages,In-store,7,265,69,7,False
2024-08-17,1,Product_01,Beverages,In-store,22,235,69,7,False
2024-08-18,1,Product_01,Beverages,In-store,22,205,69,7,False
2024-08-19,1,Product_01,Beverages,In-store,12,189,69,7,False
2024-08-20,1,Product_01,Beverages,In-store,13,171,69,7,False
2024-08-21,1,Product_01,Beverages,In-store,10,157,69,7,False
2024-08-22,1,Product_01,Beverages,In-store,11,142,69,7,False
2024-08-23,1,Product_01,Beverages,In-store,9,130,69,7,False
2024-08-24,1,Product_01,Beverages,In-store,16,108,69,7,False
2024-08-25,1,Product_01,Beverages,In-store,16,87,69,7,False
2024-08-26,1,Product_01,Beverages,In-store,19,61,69,7,False
2024-08-27,1,Product_01,Beverages,In-store,16,39,69,7,False
2024-08-28,1,Product_01,Beverages,In-store,8,28,69,7,False
2024-08-29,1,Product_01,Beverages,In-store,13,10,69,7,False
2024-08-30,1,Product_01,Beverages,In-store,7,0,69,7,False
2024-08-31,1,Product_01,Beverages,In-store,0,0,69,7,False
2024-09-01,1,Product_01,Beverages,In-store,0,0,69,7,False
2024-09-02,1,Product_01,Beverages,In-store,18,189,69,7,False
2024-09-03,1,Product_01,Beverages,In-store,13,172,69,7,False
2024-09-04,1,Product_01,Beverages,In-store,12,156,69,7,False
2024-09-05,1,Product_01,Beverages,In-store,11,141,69,7,False
2024-09-06,1,Product_01,Beverages,In-store,10,127,69,7,False
2024-09-07,1,Product_01,Beverages,In-store,27,91,69,7,False
2024-09-08,1,Product_01,Beverages,In-store,23,60,69,7,False
2024-09-09,1,Product_01,Beverages,In-store,10,46,69,7,False
2024-09-10,1,Product_01,Beverages,In-store,16,24,69,7,False
2024-09-11,1,Product_01,Beverages,In-store,18,0,69,7,False
2024-09-12,1,Product_01,Beverages,In-store,0,0,69,7,False
2024-09-13,1,Product_01,Beverages,In-store,0,0,69,7,False
2024-09-14,1,Product_01,Beverages,In-store,0,0,69,7,False
2024-09-15,1,Product_01,Beverages,In-store,18,189,69,7,False
2024-09-16,1,Product_01,Beverages,In-store,11,174,69,7,False
2024-09-17,1,Product_01,Beverages,In-store,16,152,69,7,False
2024-09-18,1,Product_01,Beverages,In-store,17,129,69,7,False
2024-09-19,1,Product_01,Beverages,In-store,10,115,69,7,False
2024-09-20,1,Product_01,Beverages,In-store,16,93,69,7,False
2024-09-21,1,Product_01,Beverages,In-store,18,69,69,7,False
2024-09-22,1,Product_01,Beverages,In-store,17,46,69,7,False
2024-09-23,1,Product_01,Beverages,In-store,10,32,69,7,False
2024-09-24,1,Product_01,Beverages,In-store,13,14,69,7,False
2024-09-25,1,Product_01,Beverages,In-store,10,0,69,7,False
2024-09-26,1,Product_01,Beverages,In-store,0,0,69,7,False
2024-09-27,1,Product_01,Beverages,In-store,0,0,69,7,False
2024-09-28,1,Product_01,Beverages,In-store,22,184,69,7,False
2024-09-29,1,Product_01,Beverages,In-store,19,159,69,7,False
2024-09-30,1,Product_01,Beverages,In-store,10,146,69,7,False
2024-10-01,1,Product_01,Beverages,In-store,11,131,69,7,False
2024-10-02,1,Product_01,Beverages,In-store,11,116,69,7,False
2024-10-03,1,Product_01,Beverages,In-store,11,101,69,7,False
2024-10-04,1,Product_01,Beverages,In-store,20,74,69,7,False
2024-10-05,1,Product_01,Beverages,In-store,16,53,69,7,False
2024-10-06,1,Product_01,Beverages,In-store,18,29,69,7,False
2024-10-07,1,Product_01,Beverages,In-store,10,16,69,7,False
2024-10-08,1,Product_01,Beverages,In-store,12,0,69,7,False
2024-10-09,1,Product_01,Beverages,In-store,0,0,69,7,False
2024-10-10,1,Product_01,Beverages,In-store,0,0,69,7,False
2024-10-11,1,Product_01,Beverages,In-store,0,0,69,7,False
2024-10-12,1,Product_01,Beverages,In-store,22,184,69,7,False
2024-10-13,1,Product_01,Beverages,In-store,22,155,69,7,False
2024-10-14,1,Product_01,Beverages,In-store,18,131,69,7,False
2024-10-15,1,Product_01,Beverages,In-store,16,110,69,7,False
2024-10-16,1,Product_01,Beverages,In-store,16,89,69,7,False
2024-10-17,1,Product_01,Beverages,In-store,9,77,69,7,False
2024-10-18,1,Product_01,Beverages,In-store,13,59,69,7,False
2024-10-19,1,Product_01,Beverages,In-store,19,33,69,7,False
2024-10-20,1,Product_01,Beverages,In-store,16,12,69,7,False
2024-10-21,1,Product_01,Beverages,In-store,9,0,69,7,False
2024-10-22,1,Product_01,Beverages,In-store,0,0,69,7,False
2024-10-23,1,Product_01,Beverages,In-store,0,0,69,7,False
2024-10-24,1,Product_01,Beverages,In-store,0,0,69,7,False
2024-10-25,1,Product_01,Beverages,In-store,18,189,69,7,False
2024-10-26,1,Product_01,Beverages,In-store,22,159,69,7,False
2024-10-27,1,Product_01,Beverages,In-store,16,137,69,7,False
2024-10-28,1,Product_01,Beverages,In-store,12,121,69,7,False
2024-10-29,1,Product_01,Beverages,In-store,15,101,69,7,False
2024-10-30,1,Product_01,Beverages,In-store,16,80,69,7,False
2024-10-31,1,Product_01,Beverages,In-store,13,62,69,7,False
2024-11-01,1,Product_01,Beverages,In-store,12,46,69,7,False
2024-11-02,1,Product_01,Beverages,In-store,27,10,69,7,False
2024-11-03,1,Product_01,Beverages,In-store,7,0,69,7,False
2024-11-04,1,Product_01,Beverages,In-store,0,0,69,7,False
2024-11-05,1,Product_01,Beverages,In-store,0,0,69,7,False
2024-11-06,1,Product_01,Beverages,In-store,0,0,69,7,False
2024-11-07,1,Product_01,Beverages,In-store,10,199,69,7,False
2024-11-08,1,Product_01,Beverages,In-store,16,178,69,7,False
2024-11-09,1,Product_01,Beverages,In-store,21,149,69,7,False
